job_id,job_title_short,skill
22424,Data Scientist,sql
22425,Data Scientist,python
22425,Data Scientist,java
22425,Data Scientist,r
22425,Data Scientist,c++
22425,Data Scientist,docker
22425,Data Scientist,kubernetes
22426,Data Scientist,python
22426,Data Scientist,r
22426,Data Scientist,sql
22427,Senior Data Engineer,python
22427,Senior Data Engineer,sql
22427,Senior Data Engineer,aws
22427,Senior Data Engineer,tensorflow
22427,Senior Data Engineer,pytorch
22427,Senior Data Engineer,scikit-learn
22427,Senior Data Engineer,jenkins
22428,Data Analyst,python
22428,Data Analyst,sql
22428,Data Analyst,r
22429,Data Analyst,excel
22429,Data Analyst,power bi
22430,Data Analyst,sap
22430,Data Analyst,excel
22431,Data Engineer,sql
22431,Data Engineer,sql server
22431,Data Engineer,snowflake
22431,Data Engineer,aws
22431,Data Engineer,redshift
22431,Data Engineer,ssis
22431,Data Engineer,power bi
22431,Data Engineer,tableau
22431,Data Engineer,looker
22433,Data Scientist,python
22433,Data Scientist,sas
22433,Data Scientist,sas
22433,Data Scientist,sql
22433,Data Scientist,r
22433,Data Scientist,matlab
22433,Data Scientist,nosql
22433,Data Scientist,pandas
22433,Data Scientist,numpy
22434,Data Analyst,sql
22435,Data Scientist,r
22435,Data Scientist,python
22435,Data Scientist,sql
22435,Data Scientist,nosql
22435,Data Scientist,mysql
22435,Data Scientist,hadoop
22435,Data Scientist,kafka
22435,Data Scientist,spark
22435,Data Scientist,plotly
22435,Data Scientist,seaborn
22435,Data Scientist,ggplot2
22436,Data Scientist,tableau
22437,Data Scientist,r
22437,Data Scientist,sas
22437,Data Scientist,sas
22437,Data Scientist,sql
22437,Data Scientist,python
22437,Data Scientist,postgresql
22437,Data Scientist,power bi
22437,Data Scientist,powerpoint
22437,Data Scientist,tableau
22437,Data Scientist,excel
22439,Data Scientist,python
22439,Data Scientist,sql
22439,Data Scientist,nosql
22439,Data Scientist,mongodb
22439,Data Scientist,mongodb
22439,Data Scientist,mysql
22439,Data Scientist,spark
22439,Data Scientist,pyspark
22439,Data Scientist,scikit-learn
22439,Data Scientist,pandas
22439,Data Scientist,matplotlib
22439,Data Scientist,opencv
22440,Data Analyst,sql
22440,Data Analyst,python
22440,Data Analyst,r
22440,Data Analyst,spark
22440,Data Analyst,express
22440,Data Analyst,excel
22440,Data Analyst,looker
22440,Data Analyst,powerpoint
22441,Data Scientist,python
22441,Data Scientist,r
22441,Data Scientist,sql
22441,Data Scientist,databricks
22441,Data Scientist,azure
22441,Data Scientist,tableau
22441,Data Scientist,excel
22442,Data Engineer,sql
